<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
035_1_2057589856_atp8	0.049	No mitochondrial presequence	15(MPP)	0.067		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
036_1_2057589856_atp8	0.011	No mitochondrial presequence	48(MPP)	-0.083	90-94,95-99	2-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
037_1_2057589856_atp8	0.038	No mitochondrial presequence	70(MPP)	0.043	48-52,52-56,83-87	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
038_1_2057589856_atp8	0.035	No mitochondrial presequence	93(MPP)	0.000	59-63	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
039_1_2057589856_atp8	0.036	No mitochondrial presequence	17(MPP)	0.000	86-90,91-95	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
040_1_2057589856_atp8	0.011	No mitochondrial presequence	30(MPP)	0.000	76-80	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
041_1_2057589856_atp8	0.044	No mitochondrial presequence	12(MPP)	0.083	48-52,76-80	14-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
042_1_2057589856_atp8	0.095	No mitochondrial presequence	9(MPP)	0.222	74-78	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
043_1_2057589856_atp8	0.103	No mitochondrial presequence	52(MPP)	0.019	14-18	10-21-high	-	-	-	-	-	-	-	-	-	-	-	13-18	14-19	-	
044_1_2057589856_atp8	0.014	No mitochondrial presequence	36(MPP)	0.000	18-22,82-86,87-91	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
045_1_2057589856_atp8	0.040	No mitochondrial presequence	22(MPP)	0.045	8-12,14-18,75-79,80-84	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
046_1_2057589856_atp8	0.013	No mitochondrial presequence	34(MPP)	0.000	81-85,86-90	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
047_1_2057589856_atp8	0.128	No mitochondrial presequence	19(MPP)	-0.053	33-37	5-14-low	-	-	-	-	-	-	-	-	15-20	-	14-19	-	-	-	
048_1_2057589856_atp8	0.024	No mitochondrial presequence	85(MPP)	0.035	57-61	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
049_1_2057589856_atp8	0.016	No mitochondrial presequence	66(MPP)	0.015	63-67	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
050_1_2057589856_atp8	0.085	No mitochondrial presequence	19(MPP)	0.053	25-29	17-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
051_1_2057589856_atp8	0.001	No mitochondrial presequence	44(MPP), 45(Icp55)	-0.068		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
052_1_2057589856_atp8	0.029	No mitochondrial presequence	12(MPP)	0.000	86-90,91-95	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
053_1_2057589856_atp8	0.022	No mitochondrial presequence	61(MPP), 62(Icp55)	0.033	91-95	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
054_1_2057589856_atp8	0.000	No mitochondrial presequence	34(MPP)	-0.059		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
055_1_2057589856_atp8	0.012	No mitochondrial presequence	69(MPP)	-0.029		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
056_1_2057589856_atp8	0.021	No mitochondrial presequence	42(MPP)	0.024	40-44	7-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
057_1_2057589856_atp8	0.015	No mitochondrial presequence	32(MPP)	0.000	4-8,29-33,56-60	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
058_1_2057589856_atp8	0.008	No mitochondrial presequence	78(MPP)	0.064	75-79,80-84	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
059_1_2057589856_atp8	0.165	No mitochondrial presequence	26(MPP)	0.077	36-40,40-44,94-98	10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
060_1_2057589856_atp8	0.013	No mitochondrial presequence	24(MPP)	0.083	52-56,57-61	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
061_1_2057589856_atp8	0.023	No mitochondrial presequence	40(MPP)	0.050	92-96	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
062_1_2057589856_atp8	0.005	No mitochondrial presequence	57(MPP)	-0.053		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
063_1_2057589856_atp8	0.008	No mitochondrial presequence	18(MPP)	-0.056	96-100	6-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
064_1_2057589856_atp8	0.019	No mitochondrial presequence	39(MPP)	0.103		11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
065_1_2057589856_atp8	0.026	No mitochondrial presequence	11(MPP)	0.091	95-99	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
066_1_2057589856_atp8	0.074	No mitochondrial presequence	54(MPP)	0.093	51-55	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
067_1_2057589856_atp8	0.028	No mitochondrial presequence	63(MPP)	-0.016		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
068_1_2057589856_atp8	0.086	No mitochondrial presequence	53(MPP)	0.094	50-54,90-94,95-99	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
069_1_2057589856_atp8	0.030	No mitochondrial presequence	11(MPP)	-0.091	26-30	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
070_1_2057589856_atp8	0.022	No mitochondrial presequence	81(MPP)	-0.012	26-30,78-82,83-87	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
071_1_2057589856_atp8	0.037	No mitochondrial presequence	82(MPP)	0.024	79-83,84-88	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
072_1_2057589856_atp8	0.022	No mitochondrial presequence	46(MPP)	-0.152		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
073_1_2057589856_atp8	0.062	No mitochondrial presequence	64(MPP)	0.031	47-51,57-61,61-65	8-17-high	-	-	-	-	-	-	-	-	-	1-6	-	-	-	-	
074_1_2057589856_atp8	0.001	No mitochondrial presequence	93(MPP)	-0.022	61-65	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
075_1_2057589856_atp8	0.095	No mitochondrial presequence	18(MPP)	0.111	76-80	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
076_1_2057589856_atp8	0.004	No mitochondrial presequence	82(MPP)	-0.024	79-83,84-88	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
077_1_2057589856_atp8	0.058	No mitochondrial presequence	81(MPP)	0.049	9-13,86-90	9-18-high	-	-	-	-	-	-	-	-	12-17	-	-	-	-	-	
078_1_2057589856_atp8	0.018	No mitochondrial presequence	23(MPP)	0.087	58-62	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
079_1_2057589856_atp8	0.006	No mitochondrial presequence	50(MPP)	-0.020	69-73	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
080_1_2057589856_atp8	0.097	No mitochondrial presequence	27(MPP)	0.000	24-28,27-31,30-34,83-87,88-92	8-18-low	-	-	-	-	-	-	-	-	-	-	-	23-28	-	-	
081_1_2057589856_atp8	0.006	No mitochondrial presequence	54(MPP)	0.019	96-100	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
082_1_2057589856_atp8	0.075	No mitochondrial presequence	93(MPP)	0.108	90-94,95-99	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
083_1_2057589856_atp8	0.005	No mitochondrial presequence	37(MPP)	-0.027	51-55	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
084_1_2057589856_atp8	0.143	No mitochondrial presequence	27(MPP)	0.148	41-45,68-72	19-28-high	-	-	-	-	-	-	-	24-29	-	-	-	-	-	-	
085_1_2057589856_atp8	0.145	No mitochondrial presequence	47(MPP)	0.149	47-51,54-58,74-78,77-81,81-85	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
086_1_2057589856_atp8	0.005	No mitochondrial presequence	23(MPP)	-0.087	63-67	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
087_1_2057589856_atp8	0.004	No mitochondrial presequence	44(MPP)	-0.045	14-18	21-30-low	-	-	-	-	-	-	-	-	-	-	-	13-18	-	-	
088_1_2057589856_atp8	0.085	No mitochondrial presequence	10(MPP)	0.100	10-14,88-92,93-97	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
089_1_2057589856_atp8	0.065	No mitochondrial presequence	38(MPP)	0.079	32-36,35-39	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
090_1_2057589856_atp8	0.058	No mitochondrial presequence	15(MPP)	0.200	76-80,81-85	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
091_1_2057589856_atp8	0.126	No mitochondrial presequence	28(MPP)	0.107		18-30-high	-	-	-	-	-	-	25-30	-	-	-	-	-	-	-	
092_1_2057589856_atp8	0.033	No mitochondrial presequence	52(MPP)	-0.096	2-6,49-53,94-98	21-30-low	-	-	-	-	-	-	-	-	-	-	19-24	-	-	-	
093_1_2057589856_atp8	0.017	No mitochondrial presequence	89(MPP)	-0.011	86-90,91-95	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
094_1_2057589856_atp8	0.005	No mitochondrial presequence	31(MPP)	-0.032	28-32,47-51,52-56	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
095_1_2057589856_atp8	0.003	No mitochondrial presequence	9(MPP)	0.000		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
096_1_2057589856_atp8	0.024	No mitochondrial presequence	51(MPP)	0.000	48-52,76-80	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
097_1_2057589856_atp8	0.001	No mitochondrial presequence	20(MPP)	0.000		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
098_1_2057589856_atp8	0.032	No mitochondrial presequence	36(MPP)	0.139		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
099_1_2057589856_atp8	0.005	No mitochondrial presequence	44(MPP)	0.045	31-35,37-41	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
100_1_2057589856_atp8	0.577	Possessing mitochondrial presequence	39(MPP)	0.154	77-81	13-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
101_1_2057589856_atp8	0.046	No mitochondrial presequence	36(MPP)	-0.028	20-24,41-45,44-48,88-92,93-97	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
102_1_2057589856_atp8	0.090	No mitochondrial presequence	33(MPP)	0.061	7-11,94-98	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
103_1_2057589856_atp8	0.004	No mitochondrial presequence	12(MPP)	0.083	88-92	18-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
104_1_2057589856_atp8	0.068	No mitochondrial presequence	16(MPP)	0.250	13-17	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
105_1_2057589856_atp8	0.044	No mitochondrial presequence	86(MPP)	-0.023	83-87,88-92	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
106_1_2057589856_atp8	0.051	No mitochondrial presequence	27(MPP)	-0.074	41-45,94-98	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
107_1_2057589856_atp8	0.002	No mitochondrial presequence	44(MPP)	-0.023		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
108_1_2057589856_atp8	0.023	No mitochondrial presequence	45(MPP)	-0.022	7-11	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
109_1_2057589856_atp8	0.046	No mitochondrial presequence	28(MPP), 29(Icp55)	-0.036	26-30	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
110_1_2057589856_atp8	0.029	No mitochondrial presequence	23(MPP)	-0.130	49-53	14-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
111_1_2057589856_atp8	0.005	No mitochondrial presequence	50(MPP)	-0.120	73-77	2-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
112_1_2057589856_atp8	0.025	No mitochondrial presequence	70(MPP), 71(Icp55)	0.000		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
113_1_2057589856_atp8	0.013	No mitochondrial presequence	83(MPP)	0.036	4-8,80-84,85-89	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
114_1_2057589856_atp8	0.031	No mitochondrial presequence	85(MPP)	0.035		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
115_1_2057589856_atp8	0.031	No mitochondrial presequence	82(MPP)	-0.049	2-6,79-83,84-88	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
116_1_2057589856_atp8	0.031	No mitochondrial presequence	35(MPP)	0.057		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
117_1_2057589856_atp8	0.013	No mitochondrial presequence	45(MPP)	-0.067		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
118_1_2057589856_atp8	0.027	No mitochondrial presequence	31(MPP)	-0.032	80-84	7-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
119_1_2057589856_atp8	0.013	No mitochondrial presequence	42(MPP)	0.071		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
120_1_2057589856_atp8	0.020	No mitochondrial presequence	18(MPP)	0.000	33-37,43-47,89-93	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
121_1_2057589856_atp8	0.028	No mitochondrial presequence	25(MPP)	-0.040		9-21-high	-	-	-	-	-	-	-	-	8-13	-	7-12	-	-	-	
122_1_2057589856_atp8	0.001	No mitochondrial presequence	56(MPP)	-0.143		10-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
123_1_2057589856_atp8	0.007	No mitochondrial presequence	20(MPP)	-0.050		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
124_1_2057589856_atp8	0.013	No mitochondrial presequence	35(MPP)	-0.086	32-36	7-16-high	-	-	-	-	-	-	-	-	-	23-28	-	-	-	-	
125_1_2057589856_atp8	0.159	No mitochondrial presequence	27(MPP)	-0.037	24-28,54-58	11-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
126_1_2057589856_atp8	0.107	No mitochondrial presequence	32(MPP)	0.219	93-97	7-16-high	-	-	-	-	-	-	-	-	10-15	-	9-14	-	-	-	
127_1_2057589856_atp8	0.009	No mitochondrial presequence	56(MPP)	-0.018	12-16	12-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
128_1_2057589856_atp8	0.082	No mitochondrial presequence	13(MPP)	0.154		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
129_1_2057589856_atp8	0.000	No mitochondrial presequence	70(MPP)	-0.071		6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
130_1_2057589856_atp8	0.003	No mitochondrial presequence	23(MPP)	-0.087	28-32,45-49	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
131_1_2057589856_atp8	0.157	No mitochondrial presequence	31(MPP)	0.032	28-32,66-70,82-86	10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
132_1_2057589856_atp8	0.014	No mitochondrial presequence	7(MPP)	0.000	22-26,40-44,74-78	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
133_1_2057589856_atp8	0.052	No mitochondrial presequence	34(MPP)	0.029	18-22,64-68	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
134_1_2057589856_atp8	0.004	No mitochondrial presequence	29(MPP)	0.069		6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
135_1_2057589856_atp8	0.039	No mitochondrial presequence	12(MPP)	0.083	13-17,23-27,67-71	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
136_1_2057589856_atp8	0.095	No mitochondrial presequence	18(MPP)	0.000		8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
137_1_2057589856_atp8	0.071	No mitochondrial presequence	48(MPP), 49(Icp55)	0.042	31-35,89-93,94-98	21-30-low	-	-	-	-	-	-	-	11-16	-	10-15	-	-	-	-	
138_1_2057589856_atp8	0.068	No mitochondrial presequence	58(MPP)	0.086		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
139_1_2057589856_atp8	0.148	No mitochondrial presequence	54(MPP)	0.056	87-91	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
140_1_2057589856_atp8	0.007	No mitochondrial presequence	44(MPP)	0.023	2-6,67-71	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
141_1_2057589856_atp8	0.001	No mitochondrial presequence	65(MPP)	-0.092		14-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
142_1_2057589856_atp8	0.048	No mitochondrial presequence	50(MPP)	0.180	30-34	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
143_1_2057589856_atp8	0.004	No mitochondrial presequence	40(MPP)	-0.075		17-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
144_1_2057589856_atp8	0.005	No mitochondrial presequence	49(MPP)	-0.020		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
145_1_2057589856_atp8	0.670	Possessing mitochondrial presequence	7(MPP)	0.429	15-19,20-24,33-37	2-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
146_1_2057589856_atp8	0.146	No mitochondrial presequence	32(MPP)	0.000	8-12,77-81,82-86	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
147_1_2057589856_atp8	0.021	No mitochondrial presequence	52(MPP)	-0.019	49-53	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
148_1_2057589856_atp8	0.019	No mitochondrial presequence	80(MPP)	0.138	77-81,82-86	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
149_1_2057589856_atp8	0.001	No mitochondrial presequence	57(MPP)	-0.088	32-36	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
150_1_2057589856_atp8	0.021	No mitochondrial presequence	8(MPP)	0.125	17-21	18-27-high	-	-	-	-	-	-	-	-	15-20	-	-	-	-	-	
151_1_2057589856_atp8	0.014	No mitochondrial presequence	24(MPP)	-0.042	68-72	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
152_1_2057589856_atp8	0.117	No mitochondrial presequence	27(MPP)	0.074	24-28,64-68	12-21-high	-	-	-	-	-	-	-	-	-	11-16	-	-	-	-	
153_1_2057589856_atp8	0.029	No mitochondrial presequence	59(MPP)	-0.017	67-71,85-89	14-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
154_1_2057589856_atp8	0.009	No mitochondrial presequence	41(MPP)	-0.073	21-25,93-97	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
155_1_2057589856_atp8	0.005	No mitochondrial presequence	57(MPP)	0.035	47-51	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
156_1_2057589856_atp8	0.050	No mitochondrial presequence	28(MPP)	0.000	81-85,86-90	17-26-low	-	-	-	-	-	-	-	-	-	-	5-10	-	-	-	
157_1_2057589856_atp8	0.082	No mitochondrial presequence	10(MPP)	0.100		18-27-low	-	-	-	-	-	-	-	-	5-10	-	4-9	-	-	-	
158_1_2057589856_atp8	0.011	No mitochondrial presequence	53(MPP)	0.113	54-58	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
159_1_2057589856_atp8	0.009	No mitochondrial presequence	28(MPP)	-0.036		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
160_1_2057589856_atp8	0.179	No mitochondrial presequence	52(MPP)	0.077	88-92,93-97	19-28-high	6-11	3-8	-	-	-	1-6	-	-	-	-	-	-	-	-	
161_1_2057589856_atp8	0.002	No mitochondrial presequence	5(MPP)	0.000	93-97	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
162_1_2057589856_atp8	0.048	No mitochondrial presequence	23(MPP)	0.043	87-91,92-96	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
163_1_2057589856_atp8	0.138	No mitochondrial presequence	18(MPP)	0.056	15-19	15-24-high	-	-	-	-	-	-	-	-	13-18	-	12-17	-	-	-	
164_1_2057589856_atp8	0.050	No mitochondrial presequence	32(MPP)	0.000		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
165_1_2057589856_atp8	0.175	No mitochondrial presequence	25(MPP)	0.120	22-26,77-81,82-86	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
166_1_2057589856_atp8	0.019	No mitochondrial presequence	36(MPP)	0.111	10-14	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
167_1_2057589856_atp8	0.017	No mitochondrial presequence	14(MPP)	0.000		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
168_1_2057589856_atp8	0.020	No mitochondrial presequence	85(MPP)	0.047	8-12,82-86,87-91	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
