<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
016_1_2573059168_atp9	0.052	No mitochondrial presequence	44(MPP)	-0.023	92-96	12-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
017_1_2573059168_atp9	0.430	Possessing mitochondrial presequence	13(MPP)	0.154	48-52,51-55	6-18-high	-	-	-	-	-	-	20-25	-	-	19-24	-	-	-	-	
018_1_2573059168_atp9	0.049	No mitochondrial presequence	48(MPP)	0.042	96-100	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
019_1_2573059168_atp9	0.015	No mitochondrial presequence	27(MPP)	0.000	69-73	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
020_1_2573059168_atp9	0.040	No mitochondrial presequence	26(MPP)	0.115	58-62	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
021_1_2573059168_atp9	0.002	No mitochondrial presequence	33(MPP)	-0.091	30-34,63-67,83-87	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
022_1_2573059168_atp9	0.001	No mitochondrial presequence	21(MPP)	-0.048	79-83	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
023_1_2573059168_atp9	0.013	No mitochondrial presequence	66(MPP)	0.030	23-27	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
024_1_2573059168_atp9	0.271	No mitochondrial presequence	72(MPP), 73(Icp55)	0.042	2-6	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
025_1_2573059168_atp9	0.056	No mitochondrial presequence	19(MPP)	0.105	54-58	1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
026_1_2573059168_atp9	0.020	No mitochondrial presequence	74(MPP)	0.068	89-93	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
027_1_2573059168_atp9	0.007	No mitochondrial presequence	5(MPP)	-0.200	40-44,44-48,71-75	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
028_1_2573059168_atp9	0.006	No mitochondrial presequence	24(MPP)	0.167	21-25,62-66	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
029_1_2573059168_atp9	0.046	No mitochondrial presequence	40(MPP)	0.150	28-32,95-99	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
030_1_2573059168_atp9	0.002	No mitochondrial presequence	15(MPP)	0.067	84-88	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
031_1_2573059168_atp9	0.001	No mitochondrial presequence	44(MPP)	-0.091	90-94	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
032_1_2573059168_atp9	0.064	No mitochondrial presequence	14(MPP)	0.071	11-15,15-19,88-92	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
033_1_2573059168_atp9	0.082	No mitochondrial presequence	25(MPP)	0.000	53-57	7-16-high	-	-	-	-	-	-	25-30	-	-	-	-	-	-	-	
034_1_2573059168_atp9	0.051	No mitochondrial presequence	14(MPP)	0.071	15-19,63-67	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
035_1_2573059168_atp9	0.011	No mitochondrial presequence	22(MPP)	-0.045	76-80	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
036_1_2573059168_atp9	0.033	No mitochondrial presequence	21(MPP)	0.000	73-77,92-96	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
037_1_2573059168_atp9	0.018	No mitochondrial presequence	62(MPP)	0.032	27-31,32-36,59-63,89-93	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
038_1_2573059168_atp9	0.040	No mitochondrial presequence	48(MPP)	0.021	19-23,53-57	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
039_1_2573059168_atp9	0.021	No mitochondrial presequence	37(MPP)	-0.162	44-48,67-71	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
040_1_2573059168_atp9	0.016	No mitochondrial presequence	46(MPP)	0.087	43-47,50-54,70-74,95-99	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
041_1_2573059168_atp9	0.137	No mitochondrial presequence	19(MPP)	0.105	2-6,19-23,23-27,61-65	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
042_1_2573059168_atp9	0.063	No mitochondrial presequence	52(MPP), 60(Oct1)	0.115	1-5,69-73,82-86	1-10-high	-	-	-	-	-	-	-	-	-	10-15	-	-	-	-	
043_1_2573059168_atp9	0.001	No mitochondrial presequence	11(MPP)	0.000	89-93	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
044_1_2573059168_atp9	0.079	No mitochondrial presequence	30(MPP)	0.133	17-21,20-24,27-31,78-82,95-99	1-10-low	-	-	-	21-26	-	-	-	-	-	-	-	-	-	-	
045_1_2573059168_atp9	0.034	No mitochondrial presequence	68(MPP)	-0.029		16-25-low	-	-	-	-	-	-	-	-	-	-	23-28	-	-	-	
046_1_2573059168_atp9	0.161	No mitochondrial presequence	17(MPP)	0.176	8-12,11-15,14-18,62-66,69-73,94-98	7-16-high	-	-	-	-	11-16	-	-	-	6-11	-	5-10	-	-	-	
047_1_2573059168_atp9	0.182	No mitochondrial presequence	12(MPP)	0.083	46-50,60-64	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
048_1_2573059168_atp9	0.007	No mitochondrial presequence	30(MPP)	0.067	4-8,49-53	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
049_1_2573059168_atp9	0.002	No mitochondrial presequence	45(MPP)	-0.044	54-58	1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
050_1_2573059168_atp9	0.014	No mitochondrial presequence	56(MPP)	0.107		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
051_1_2573059168_atp9	0.368	No mitochondrial presequence	35(MPP)	0.229	55-59,68-72	18-27-low	-	13-18	-	-	-	-	-	-	-	-	-	-	-	-	
052_1_2573059168_atp9	0.007	No mitochondrial presequence	49(MPP)	-0.102	73-77	17-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
053_1_2573059168_atp9	0.036	No mitochondrial presequence	12(MPP)	0.083	89-93	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
054_1_2573059168_atp9	0.010	No mitochondrial presequence	51(MPP)	-0.059	87-91	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
055_1_2573059168_atp9	0.026	No mitochondrial presequence	55(MPP)	0.055	30-34,49-53	17-26-low	-	-	-	-	-	-	-	-	3-8	-	2-7	-	-	-	
056_1_2573059168_atp9	0.000	No mitochondrial presequence	25(MPP)	-0.160	47-51	17-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
057_1_2573059168_atp9	0.041	No mitochondrial presequence	28(MPP)	0.000	4-8,49-53	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
058_1_2573059168_atp9	0.018	No mitochondrial presequence	46(MPP)	-0.022	59-63	13-22-high	-	11-16	-	-	-	-	-	-	-	-	-	-	-	-	
059_1_2573059168_atp9	0.049	No mitochondrial presequence	35(MPP)	-0.029	62-66	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
060_1_2573059168_atp9	0.022	No mitochondrial presequence	62(MPP)	0.016	88-92	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
061_1_2573059168_atp9	0.005	No mitochondrial presequence	62(MPP)	-0.048	51-55,90-94	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
062_1_2573059168_atp9	0.062	No mitochondrial presequence	55(MPP)	0.018	25-29,44-48,80-84	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
063_1_2573059168_atp9	0.018	No mitochondrial presequence	20(MPP)	0.000	82-86	8-18-high	-	-	-	-	-	-	-	-	-	-	14-19	-	-	-	
064_1_2573059168_atp9	0.013	No mitochondrial presequence	31(MPP)	-0.032	57-61	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
065_1_2573059168_atp9	0.084	No mitochondrial presequence	15(MPP)	0.067	16-20,81-85	10-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
066_1_2573059168_atp9	0.001	No mitochondrial presequence	82(MPP)	-0.012	48-52	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
067_1_2573059168_atp9	0.290	No mitochondrial presequence	33(MPP)	0.152	18-22,75-79	13-27-high	-	-	-	-	-	-	22-27	-	-	21-26	-	-	-	-	
068_1_2573059168_atp9	0.011	No mitochondrial presequence	40(MPP)	0.000	43-47,50-54,73-77	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
069_1_2573059168_atp9	0.562	Possessing mitochondrial presequence	16(MPP)	0.188		11-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
070_1_2573059168_atp9	0.047	No mitochondrial presequence	16(MPP)	0.062	2-6,6-10,13-17,52-56	2-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
071_1_2573059168_atp9	0.030	No mitochondrial presequence	31(MPP)	0.129	56-60,65-69,93-97	11-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
072_1_2573059168_atp9	0.172	No mitochondrial presequence	28(MPP)	0.107	62-66,92-96	7-16-high	-	-	-	-	-	-	-	12-17	-	-	-	-	-	11-16	
073_1_2573059168_atp9	0.083	No mitochondrial presequence	25(MPP)	0.040	56-60	21-30-low	-	-	-	-	-	-	-	3-8	-	2-7	-	-	-	-	
074_1_2573059168_atp9	0.055	No mitochondrial presequence	70(MPP)	0.057	67-71,87-91	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
075_1_2573059168_atp9	0.006	No mitochondrial presequence	47(MPP)	0.000	41-45,45-49,65-69,92-96	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
076_1_2573059168_atp9	0.008	No mitochondrial presequence	49(MPP)	-0.020	37-41,41-45,56-60	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
077_1_2573059168_atp9	0.060	No mitochondrial presequence	46(MPP)	0.043	66-70	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
078_1_2573059168_atp9	0.002	No mitochondrial presequence	81(MPP)	0.012	47-51	6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
079_1_2573059168_atp9	0.206	No mitochondrial presequence	13(MPP)	0.154	4-8,46-50	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
080_1_2573059168_atp9	0.137	No mitochondrial presequence	42(MPP)	0.048	33-37,46-50,61-65	19-28-high	-	-	-	-	-	-	-	-	-	20-25	-	-	-	-	
081_1_2573059168_atp9	0.228	No mitochondrial presequence	45(MPP), 46(Icp55)	0.022	3-7,42-46,52-56,77-81	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
082_1_2573059168_atp9	0.057	No mitochondrial presequence	32(MPP)	0.000	38-42,56-60	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
083_1_2573059168_atp9	0.136	No mitochondrial presequence	24(MPP)	0.042	21-25,69-73	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
084_1_2573059168_atp9	0.066	No mitochondrial presequence	60(MPP)	0.017	11-15,14-18,46-50,83-87	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
085_1_2573059168_atp9	0.007	No mitochondrial presequence	32(MPP)	0.062		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
086_1_2573059168_atp9	0.066	No mitochondrial presequence	41(MPP)	-0.024	51-55	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
087_1_2573059168_atp9	0.053	No mitochondrial presequence	21(MPP)	0.048	70-74	1-10-low	-	6-11	-	-	-	4-9	-	-	-	3-8	-	-	-	-	
088_1_2573059168_atp9	0.000	No mitochondrial presequence	43(MPP)	0.023	25-29,61-65	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
089_1_2573059168_atp9	0.008	No mitochondrial presequence	38(MPP)	-0.053	46-50	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
090_1_2573059168_atp9	0.005	No mitochondrial presequence	53(MPP)	0.057	76-80	2-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
091_1_2573059168_atp9	0.059	No mitochondrial presequence	86(MPP)	0.000	35-39,63-67	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
092_1_2573059168_atp9	0.083	No mitochondrial presequence	21(MPP), 29(Oct1)	-0.095	18-22,48-52,83-87	18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	18-23	-	
093_1_2573059168_atp9	0.080	No mitochondrial presequence	34(MPP)	0.029	91-95	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
094_1_2573059168_atp9	0.024	No mitochondrial presequence	67(MPP)	-0.015		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
095_1_2573059168_atp9	0.006	No mitochondrial presequence	13(MPP)	0.077	21-25	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
096_1_2573059168_atp9	0.010	No mitochondrial presequence	8(MPP)	0.000	24-28,60-64	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
097_1_2573059168_atp9	0.090	No mitochondrial presequence	15(MPP)	0.000	75-79	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
098_1_2573059168_atp9	0.003	No mitochondrial presequence	30(MPP)	-0.167	51-55,72-76	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
099_1_2573059168_atp9	0.019	No mitochondrial presequence	56(MPP)	0.018	49-53,69-73,94-98	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
100_1_2573059168_atp9	0.061	No mitochondrial presequence	25(MPP)	0.040	14-18,32-36,36-40,69-73	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
101_1_2573059168_atp9	0.030	No mitochondrial presequence	15(MPP)	0.133	1-5,64-68	5-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
102_1_2573059168_atp9	0.005	No mitochondrial presequence	10(MPP)	0.100	59-63	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
103_1_2573059168_atp9	0.044	No mitochondrial presequence	26(MPP)	0.154	37-41,64-68	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
104_1_2573059168_atp9	0.321	No mitochondrial presequence	47(MPP)	0.085	7-11,12-16,16-20,19-23,44-48,78-82,83-87	12-21-high	-	-	-	-	19-24	-	-	-	-	-	-	15-20	-	-	
105_1_2573059168_atp9	0.020	No mitochondrial presequence	73(MPP)	0.068	8-12,70-74,81-85,95-99	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
106_1_2573059168_atp9	0.003	No mitochondrial presequence	37(MPP)	0.000	59-63	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
107_1_2573059168_atp9	0.002	No mitochondrial presequence	53(MPP)	-0.075	70-74	2-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
108_1_2573059168_atp9	0.007	No mitochondrial presequence	36(MPP)	-0.083	70-74	7-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
109_1_2573059168_atp9	0.039	No mitochondrial presequence	28(MPP)	0.036	25-29,55-59	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
110_1_2573059168_atp9	0.009	No mitochondrial presequence	69(MPP)	-0.087	73-77	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
111_1_2573059168_atp9	0.058	No mitochondrial presequence	53(MPP)	0.057	10-14,65-69	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
112_1_2573059168_atp9	0.003	No mitochondrial presequence	22(MPP)	-0.136	49-53	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
113_1_2573059168_atp9	0.000	No mitochondrial presequence	89(MPP)	0.000	54-58	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
114_1_2573059168_atp9	0.022	No mitochondrial presequence	14(MPP)	0.000	2-6,74-78	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
115_1_2573059168_atp9	0.003	No mitochondrial presequence	21(MPP)	0.048		19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
116_1_2573059168_atp9	0.256	No mitochondrial presequence	24(MPP), 32(Oct1)	0.083	11-15,33-37	10-19-low	-	-	-	-	-	-	-	-	-	-	-	10-15	11-16	-	
117_1_2573059168_atp9	0.007	No mitochondrial presequence	84(MPP)	0.012	50-54	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
118_1_2573059168_atp9	0.029	No mitochondrial presequence	50(MPP)	0.040	17-21,29-33,47-51	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
119_1_2573059168_atp9	0.028	No mitochondrial presequence	14(MPP)	0.000	7-11,68-72	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
120_1_2573059168_atp9	0.012	No mitochondrial presequence	34(MPP)	0.118		19-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
121_1_2573059168_atp9	0.011	No mitochondrial presequence	85(MPP)	-0.047	3-7,93-97	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
122_1_2573059168_atp9	0.001	No mitochondrial presequence	35(MPP)	-0.029	28-32,85-89	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
123_1_2573059168_atp9	0.057	No mitochondrial presequence	48(MPP)	0.000	15-19,45-49	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
124_1_2573059168_atp9	0.008	No mitochondrial presequence	6(MPP)	-0.500	33-37,91-95	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
125_1_2573059168_atp9	0.002	No mitochondrial presequence	52(MPP)	0.096		16-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
126_1_2573059168_atp9	0.013	No mitochondrial presequence	40(MPP)	-0.025	13-17,29-33,83-87	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
127_1_2573059168_atp9	0.006	No mitochondrial presequence	20(MPP)	-0.100	68-72	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
128_1_2573059168_atp9	0.010	No mitochondrial presequence	11(MPP)	0.000	8-12,48-52	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
129_1_2573059168_atp9	0.057	No mitochondrial presequence	24(MPP), 25(Icp55)	-0.083	22-26,26-30,48-52	1-10-low	-	-	-	-	-	-	-	-	20-25	-	-	-	-	-	
130_1_2573059168_atp9	0.004	No mitochondrial presequence	37(MPP)	0.027		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
131_1_2573059168_atp9	0.032	No mitochondrial presequence	24(MPP)	-0.042	96-100	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
132_1_2573059168_atp9	0.008	No mitochondrial presequence	10(MPP)	0.100		11-20-low	-	-	-	-	-	-	-	-	5-10	-	-	-	-	-	
133_1_2573059168_atp9	0.157	No mitochondrial presequence	30(MPP)	0.133	9-13,12-16	8-18-high	-	-	-	-	9-14	-	-	-	-	-	-	-	-	-	
134_1_2573059168_atp9	0.064	No mitochondrial presequence	36(MPP)	0.028	33-37,44-48,83-87	1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
135_1_2573059168_atp9	0.085	No mitochondrial presequence	13(MPP)	0.154	10-14,26-30,31-35,49-53,56-60	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
136_1_2573059168_atp9	0.009	No mitochondrial presequence	56(MPP)	0.036	7-11,84-88	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
137_1_2573059168_atp9	0.015	No mitochondrial presequence	10(MPP)	0.100	71-75	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
138_1_2573059168_atp9	0.033	No mitochondrial presequence	28(MPP), 29(Icp55)	0.000	12-16,48-52,53-57,95-99	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
139_1_2573059168_atp9	0.001	No mitochondrial presequence	85(MPP)	-0.082	10-14,93-97	4-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
140_1_2573059168_atp9	0.024	No mitochondrial presequence	21(MPP)	0.095		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
141_1_2573059168_atp9	0.000	No mitochondrial presequence	65(MPP)	-0.031	24-28	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
142_1_2573059168_atp9	0.000	No mitochondrial presequence	34(MPP)	-0.235	72-76	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
143_1_2573059168_atp9	0.003	No mitochondrial presequence	36(MPP)	0.000	62-66	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
144_1_2573059168_atp9	0.066	No mitochondrial presequence	15(MPP)	0.333	54-58	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
145_1_2573059168_atp9	0.055	No mitochondrial presequence	17(MPP)	0.118	4-8,61-65,87-91	1-10-high	-	-	-	-	4-9	-	-	-	12-17	-	-	-	-	-	
146_1_2573059168_atp9	0.099	No mitochondrial presequence	18(MPP)	0.222	43-47,88-92	7-16-high	-	14-19	16-21	-	-	-	-	-	-	-	-	-	-	-	
147_1_2573059168_atp9	0.009	No mitochondrial presequence	88(MPP)	-0.091		18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
148_1_2573059168_atp9	0.489	Possessing mitochondrial presequence	17(MPP)	0.235	64-68,90-94	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
149_1_2573059168_atp9	0.004	No mitochondrial presequence	44(MPP)	-0.045	48-52	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
150_1_2573059168_atp9	0.025	No mitochondrial presequence	9(MPP)	0.333	51-55	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
151_1_2573059168_atp9	0.088	No mitochondrial presequence	66(MPP)	0.061	5-9,9-13,15-19,18-22,77-81	14-23-high	-	-	-	-	-	-	-	-	-	-	-	8-13	5-10	-	
152_1_2573059168_atp9	0.052	No mitochondrial presequence	26(MPP)	0.115	23-27,80-84	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
153_1_2573059168_atp9	0.007	No mitochondrial presequence	46(MPP)	-0.043	82-86	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
154_1_2573059168_atp9	0.065	No mitochondrial presequence	61(MPP)	0.049	11-15,14-18	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
155_1_2573059168_atp9	0.004	No mitochondrial presequence	17(MPP)	-0.235	62-66	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
156_1_2573059168_atp9	0.012	No mitochondrial presequence	33(MPP)	-0.061		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
157_1_2573059168_atp9	0.008	No mitochondrial presequence	41(MPP)	-0.049	14-18,38-42,58-62,67-71	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
158_1_2573059168_atp9	0.044	No mitochondrial presequence	17(MPP)	0.059	83-87	21-30-low	-	25-30	-	-	-	-	-	-	-	-	-	-	-	-	
159_1_2573059168_atp9	0.100	No mitochondrial presequence	42(MPP)	0.048	42-46,45-49,55-59	15-24-high	-	-	-	-	-	10-15	-	-	-	9-14	-	-	-	-	
160_1_2573059168_atp9	0.129	No mitochondrial presequence	20(MPP), 21(Icp55)	-0.050	17-21,51-55	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
161_1_2573059168_atp9	0.003	No mitochondrial presequence	54(MPP)	-0.019	89-93	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
162_1_2573059168_atp9	0.009	No mitochondrial presequence	95(MPP)	0.011	61-65	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
163_1_2573059168_atp9	0.004	No mitochondrial presequence	59(MPP)	-0.102	7-11,74-78	6-16-high	-	-	-	-	-	-	-	-	5-10	-	-	-	-	-	
164_1_2573059168_atp9	0.014	No mitochondrial presequence	28(MPP)	-0.036	57-61	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
